"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"17043","TreVeyon Henderson","RB","NEP",166.47,71.21,67.2,188.8,197.8,191.3,161.14,NA,10.9,252.9,67.2,77.6
"16214","Sam LaPorta","TE","DET",166.4,86.8,63.2,199,186.7,165.5,214.42,191.76,10.1,172.8,63.2,74.4
"13630","Courtland Sutton","WR","DEN",166.35,86.11,106.2,203.1,206.4,189.8,149.1,NA,12.1,237.6,106.2,81.6
"14073","Josh Jacobs","RB","GBP",166.13,143.08,51.8,128.7,168.2,119.3,157.66,NA,NA,264.8,51.8,84.4
"15742","Jaylen Warren","RB","PIT",166.13,74.39,76,195.2,194.9,201.3,211.79,NA,11.9,185.7,76,86.4
"17052","Bhayshul Tuten","RB","JAC",164.61,66.32,61.2,201.9,206.7,226.3,128.93,NA,12.7,223.1,61.2,61.5
"13299","George Kittle","TE","SFO",163.76,97.48,82.5,215.6,195.8,152.5,187.87,186.92,13.89,171.4,82.5,71.9
"17462","Fernando Mendoza","QB","LVR",163.54,264.46,118.4,171.96,190.92,186.86,104.93,NA,1.94,224.52,118.4,168.6
"11244","Travis Kelce","TE","KCC",163.38,99.37,94.9,195.3,175,174.1,197.48,185.67,11.7,183.3,94.9,94.4
"13163","Chris Godwin","WR","TBB",162.46,74.75,95.3,195.2,160,175.9,199.23,NA,9.3,235.1,95.3,122.9
"16206","Michael Wilson","WR","ARI",161.62,88.85,100.5,185.9,175,172.2,179.88,NA,12.3,244.4,100.5,103.5
"15757","Wan'Dale Robinson","WR","TEN",160.97,86.38,130.8,188.2,175.5,174.6,159.32,NA,11.8,256.4,130.8,112.8
"15259","Rhamondre Stevenson","RB","NEP",160.46,73.64,76.9,178.1,205.2,196.7,216.45,NA,12.5,166.2,76.9,78.1
"13674","Dallas Goedert","TE","PHI",157.99,120.2,105.1,206,179.5,156.5,202.03,184.83,12.2,137.7,105.1,102.9
"14842","Michael Pittman","WR","PIT",157.83,82.8,121,180.7,198.3,193.7,176.3,NA,8.1,189.9,121,90
"17497","Carnell Tate","WR","TEN",155.69,68.85,81.7,153.9,201.3,181.7,169.47,NA,13.1,222.2,81.7,78.8
"14127","Jakobi Meyers","WR","JAC",155.36,109.5,130.4,179.1,179.8,168.1,196.08,NA,9.5,204,130.4,122.4
"16222","Tucker Kraft","TE","GBP",155.18,80.52,60.3,193.2,170.5,159.4,173.3,173.82,7.1,190.2,60.3,91.2
"16618","Brian Thomas Jr.","WR","JAC",154.94,82.57,84,200.2,175.3,167.2,150.67,NA,11,225.3,84,113.8
"16186","Jordan Addison","WR","MIN",153.88,108.48,115.4,173.7,169.3,163.8,192.6,NA,10.4,213.5,115.4,122.5
"16184","Jayden Reed","WR","GBP",153.01,102.29,116.1,174.3,169.4,184.3,171.76,NA,7.4,211.3,116.1,139.9
"15329","Kyle Pitts","TE","ATL",152.76,78.04,72.1,192.2,183.8,185.6,160.69,NA,10,184.3,72.1,68.7
"17498","Jordyn Tyson","WR","NOS",151.54,138.56,101.7,118.1,102.4,136.3,189.21,NA,NA,219.1,101.7,168.1
"14823","Rico Dowdle","RB","PIT",150.84,85.72,86.4,190.6,191.4,166.4,150.93,NA,10.8,199.3,86.4,95.9
"14085","Tony Pollard","RB","TEN",148.19,83.46,86,184.4,182.5,197.2,157.44,NA,12.7,167.3,86,87.2
"16188","Quentin Johnston","WR","LAC",148.14,93.28,108.8,189.1,167.9,159.7,171.73,NA,10.7,193.7,108.8,131.9
"14800","J.K. Dobbins","RB","DEN",147.38,102.36,94.6,182.4,178,173.2,173.38,NA,12.3,169,94.6,111.8
"15261","Chuba Hubbard","RB","CAR",146.95,99.39,90.6,171.2,177.5,178.5,178.12,NA,11.3,169.5,90.6,109.3
"17068","RJ Harvey","RB","DEN",146.6,95.06,109.2,189.2,153.3,149.9,164.8,NA,10.5,215.9,109.2,126.7
